MPID|MP Type|Name|Location|Telephone|NASDAQ Member|FINRA Member|NASDAQ BX Member|PSX Participant
AMRX|P|AMERICAS EXECUTIONS, INC.|||N|Y|N|N
AMSN|P|Adamson Brothers Inc.|PARAMUS, NJ|201-518-0170|N|N|N|N
ANDG|P|Andrew Garrett Inc.|||Y|Y|N|N
ANDS|P|Andrews Securities, LLC|||N|Y|N|N
ANDV|P|FIS BROKERAGE & SECURITIES SERVICES LLC|Trading Desk|630-482-5105|Y|Y|Y|Y
ANDZ|P|FIS BROKERAGE & SECURITIES SERVICES LLC|TRADING DESK|630-482-5105|Y|Y|Y|Y
ANOS|O|Abel/Noser Corp.|NEW YORK, NY|212-344-0954|Y|Y|N|N
ANOV|P|Anovest Financial Services, Inc.|||N|Y|N|N
ANPC|P|ASG Securities, Inc.|ATLANTA, GA|404-888-0004|N|N|N|N
ANPC|P|ASG Securities, Inc.||800-897-0384|N|N|N|N
ANPC|P|ASG Securities, Inc.|IF LINE TROUBLE|404-423-3557|N|N|N|N
ANSL|P|Anderson & Strudwick, Incorporated|||N|N|N|N
ANSR|M|Anderson & Strudwick, Incorporated|RICHMOND, VA|804-643-2555|N|N|N|N
ANSR|M|Anderson & Strudwick, Incorporated||800-827-2515|N|N|N|N
ANSR|M|Anderson & Strudwick, Incorporated|SWITCHBOARD|804-643-2400|N|N|N|N
ANSU|P|LM Anderson Securities, LLC|GRENWICH CT|203-622-4800|N|N|N|N
AOSD|P|AOS, Inc.|||N|Y|N|N
AOSE|P|AOS, Inc.|||N|Y|N|N
APBI|P|APB FINANCIAL GROUP, LLC|||N|Y|N|N
APCC|P|Apex Clearing Corporation|||Y|Y|Y|Y
APEX|P|Apex Pryor Securities, A Division of Rice Financial Products Co|||N|Y|N|N
APFS|P|American Portfolios Financial Services, Inc.|GLEN HEAD, NY|516-676-4727|N|Y|N|N
APMA|P|ABN AMRO CLEARING CHICAGO LLC|||Y|Y|Y|Y
APOG|P|CITADEL SECURITIES LLC|||Y|Y|Y|Y
APSS|P|APS Financial Corporation|AUSTIN TX 78746|800-248-0630|N|N|N|N
APTR|P|Alpine Partners, L.P.|||N|N|N|N
AQUA|P|AQUA SECURITIES L.P.|||Y|Y|N|N
ARAD|P|Aradir Corporation|||N|N|N|N
ARAL|P|Absolute Return Advisors, LTD.|MANCHESTER CENTER,VT|802-362-0825|N|N|N|N
ARBI|O|Aufhauser Securities, Inc.|NEW YORK, NY|(212)757-6839|Y|Y|N|N
ARBR|P|ARBOR RESEARCH & TRADING, INC.|||N|Y|N|N
ARCA|P|Archipelago Trading Services, Inc.|NASDAQ TRADING|312-960-1318|N|Y|N|N
ARCA|P|Archipelago Trading Services, Inc.|OTCBB TRADING|312-442-7700|N|Y|N|N
ARCB|P|OES Brokerage Services, L.L.C.|||N|N|N|N
ARCD|P|Arcadia Securities, LLC|Trading|212-231-4101|N|Y|N|N
ARCH|P|Investacorp, Inc.|MIAMI LAKES, FL|(305)557-3000|N|Y|N|N
ARCX|E|Archipelago Stock Exchange||312-960-1318|N|N|N|N
ARDR|P|Ardour Capital Investments, LLC|||N|Y|N|N
ARGA|P|AURIGA USA, INC.||516-747-6317|N|Y|N|N
ARGN|O|Aragon Investments, Ltd.|NASDAQ TRADING|312-395-2717|N|N|N|N
ARGN|O|Aragon Investments, Ltd.|ALT.NASDAQ TRADING|312-395-3124|N|N|N|N
ARIC|P|ARIVE CAPITAL MARKETS LLC|||N|Y|N|N
ARIV|N|Arive Capital Markets LLC|ALBANY, NY|518-458-7445|N|Y|N|N
ARKI|P|Adie, Douglas Keith|||N|Y|N|N
ARRB|O|Archipelago Securities L.L.C.|NASDAQ TRADING|312-960-1318|Y|Y|Y|Y
ARRB|O|Archipelago Securities L.L.C.|OTCBB TRADING|312-442-7700|Y|Y|Y|Y
ARSC|P|ARCTIC SECURITIES LLC|Trading Desk|212-597-5543|N|Y|N|N
ARTI|P|ARBOR RESEARCH & TRADING, INC.|||N|Y|N|N
ARUS|P|AUTONOMOUS RESEARCH US LP|||N|Y|N|N
ARVS|P|Arvest Asset Management|||N|Y|N|N
ARXP|P|ARXIS SECURITIES LLC|||Y|Y|Y|N
ARXS|P|ARXIS SECURITIES LLC|||Y|Y|Y|N
ASAM|P|Azroc Securities, Inc.|||N|N|N|N
ASCL|P|Automated Securities Clearance LTD|||N|N|N|N
ASCM|P|ASCENDIANT CAPITAL MARKETS, LLC|||Y|Y|N|N
ASCR|P|ASCENDIANT CAPITAL MARKETS, LLC|||Y|Y|N|N
ASCT|P|Ascendiant Capital Markets, LLC|||Y|Y|N|N
ASDF|P|ASD Financial Services Corp|||N|N|N|N
ASEL|O|Tradition Asiel Securities Inc.|NEW YORK, NY|212-791-4500|Y|Y|N|N
ASEL|O|Tradition Asiel Securities Inc.|ARBITRAGE|212-791-5572|Y|Y|N|N
ASEL|O|Tradition Asiel Securities Inc.|NASDAQ|212-791-5572|Y|Y|N|N
ASGE|P|ABN Amro Sage Corporation|||N|N|N|N
ASIC|M|ASI Investments, Inc.|||N|N|N|N
ASLB|P|Tradition Asiel Securities Inc.|||Y|Y|N|N
ASNA|P|LIME BROKERAGE LLC|||Y|Y|Y|Y
ASNX|P|SUNGARD BROKERAGE & SECURITIES SERVICES, LLC|||Y|Y|Y|Y
ASOI|P|Associated Investment Services, Inc.|NASDAQ TRADING|920-433-7722|N|Y|N|N
ASTI|P|AST INVESTOR SERVICES LLC|||N|Y|N|N
ATDB|O|Automated Trading Desk Brokerage Services, LLC|MT PLEASANT SC|843-789-2000|N|N|N|N
ATDB|O|Automated Trading Desk Brokerage Services, LLC|NASDAQ TRADING|843-789-2080|N|N|N|N
ATDB|O|Automated Trading Desk Brokerage Services, LLC|OTCBB/PINK|843-789-2065|N|N|N|N
ATDF|M|AUTOMATED TRADING DESK FINANCIAL SERVICES, LLC|||Y|Y|Y|Y
ATGP|O|Agency Trading Group, Inc.|WAYZATA, MN|952-476-9500|Y|Y|N|N
ATGX|P|ABN AMRO CLEARING CHICAGO LLC|||Y|Y|Y|Y
ATIX|P|ABN AMRO CLEARING CHICAGO LLC|||Y|Y|Y|Y
ATKC|P|Strand, Atkinson, Williams & York, Inc.|PORTLAND, OR|503-226-2458|N|Y|N|N
ATMC|P|ATM EXECUTION LLC|||Y|Y|Y|N
ATON|M|Aton Securities, Inc.|NEW YORK, NY|212-697-6099|N|N|N|N
ATPA|P|COWEN PRIME SERVICES LLC|||Y|Y|N|N
ATRM|P|MONERE INVESTMENTS, INC.|||N|Y|N|N
ATRU|P|ATREYU GROUP LLC|||N|Y|N|N
ATTR|P|Atlantic Trading Partners Incorporated|||N|N|N|N
AUDO|O|Audobon Securities, Inc.|NEW YORK, NY|212-751-4510|N|N|N|N
AULT|P|Ault Glazer Bodnar Securities, LLC|||N|N|N|N
AURA|P|Aura Financial Services, Inc.|||N|N|N|N
AURC|P|Aurora Capital LLC|||N|Y|N|N
AUTO|P|Automated Trading Desk Financial Services, LLC|TRADE DESK TOLL FREE|866.283.2831|Y|Y|Y|Y
AUTO|P|Automated Trading Desk Financial Services, LLC|TRADE DESK|843-789-2180|Y|Y|Y|Y
AUTX|P|Reuters Transaction Services LLC|||N|Y|N|N
AVAP|P|Avalon Partners, Inc.|||N|N|N|N
AVAT|P|AVATAR CAPITAL GROUP LLC|||N|Y|N|N
AVFI|P|Alta Vista Financial, Inc.|||N|N|N|N
AVIA|O|Avian Securities, LLC|NEW YORK, NY|800-683-0333|N|N|N|N
AVIL|P|Avila Capital Markets, Inc.|||N|Y|N|N
AVON|M|Avondale Partners, LLC|A-NASHVILLE, TN|615-467-3535|Y|Y|N|N
AVON|M|Avondale Partners, LLC|TRADING DESK|866-386-7476|Y|Y|N|N
AVST|P|Richave Financial, Inc.|||N|N|N|N
AVTR|P|AVATAR SECURITIES, LLC|||N|N|N|N
AXCS|P|Access Securities, LLC|STAMFORD CT|203-595-8210|Y|Y|N|N
AXCS|P|Access Securities, LLC|CONVERTIBLES|203-595-8224|Y|Y|N|N
AXCS|P|Access Securities, LLC|WESTLAKE VILLAGE, CA|818-889-5611|Y|Y|N|N
AXGP|P|Access Securities, LLC|STAMFORD, CT|203-595-8210|Y|Y|N|N
AXIO|O|Axiom Capital Management, Inc.|NEW YORK  NY|212-207-4005|Y|Y|N|N
AXIO|O|Axiom Capital Management, Inc.|NASDAQ TRADING|800-609-2232|Y|Y|N|N
AXTN|P|AX TRADING, LLC|||N|Y|N|N
AYME|M|Martinez-Ayme Securities|TRADING|305-271-0805|N|N|N|N
AYRE|P|AYRE INVESTMENTS, INC.|||N|N|N|N
AZAD|P|INTERNATIONAL FINANCIAL SOLUTIONS, INC.|||N|Y|N|N
AZSU|P|Arizona State University|||N|N|N|N
BACS|M|Basic Investors Inc.|MELVILLE, NY|631-630-0286|N|N|N|N
BALE|P|M&T SECURITIES, INC.|||N|Y|N|N
BALF|P|Balfour Investors Inc.|NASDAQ TRADING|212-489-7071|N|N|N|N
BAMC|P|Baldwin Anthony Securities, Inc.||800-994-2262|N|N|N|N
BAMC|P|Baldwin Anthony Securities, Inc.|DALLAS, TX|214-219-8899|N|N|N|N
BANC|P|Banc One Securities Corporation|NASDAQ TRADING|614-248-8863|N|N|N|N
BANK|O|Primevest Financial Services, Inc.|ST. CLOUD, MN|320-656-4300|N|Y|N|N
BANK|O|Primevest Financial Services, Inc.|NASDAQ TRADING|800-245-0464|N|Y|N|N
BANK|O|Primevest Financial Services, Inc.|AGENCY DESK|320-529-4576|N|Y|N|N
BANK|O|Primevest Financial Services, Inc.||320-656-4322|N|Y|N|N
BANQ|P|TRIPOINT GLOBAL EQUITIES, LLC|||N|Y|N|N
BAQP|P|BURKE & QUICK PARTNERS LLC|||N|Y|N|N
BARC|P|Barclay Investments, Inc.|||N|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|MILWAUKEE  WI|414-765-3660|Y|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|ALT NASDAQ PH|414-765-3629|Y|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|NASDAQ/OTCBB TRADING|800-562-2288|Y|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|INSTITUTIONAL|800-558-9853|Y|Y|N|N
BARD|M|Robert W. Baird & Co. Incorporated|PREFERRED|800-792-2473|Y|Y|N|N
BARG|P|Barriger & Barriger Incorporated|||N|N|N|N
BARR|M|Barrett & Company|PROVIDENCE, RI|401-351-1000|N|Y|N|N
BARR|M|Barrett & Company|PROVIDENCE, RI|800-556-7078|N|Y|N|N
BARR|M|Barrett & Company|TRADING|800-626-8964|N|Y|N|N
BASD|O|Banc of America Securities LLC|SAN FRANCISCO, CA|415-627-2900|N|N|N|N
BASS|P|BASIS FINANCIAL, LLC|||N|N|N|N
BATC|P|Battenkill Capital, Inc.|||N|N|N|N
BATM|P|BATS TRADING, INC.|||Y|Y|Y|N
BATS|E|Bats Trading, Inc.|Trading Desk|816-285-9901|Y|Y|Y|N
BATS|E|Bats Trading, Inc.|Main Number|816-285-9900|Y|Y|Y|N
BATY|E|Bats Trading, Inc.|||Y|Y|Y|N
BAUM|P|George K. Baum & Company|KANSAS CITY, MO|816-474-1122|N|Y|N|N
BAUM|P|George K. Baum & Company|KANSAS CITY, MO|800-821-7570|N|Y|N|N
BAYC|P|BAY CREST PARTNERS, LLC|||Y|Y|N|N
BAYE|P|BAYES CAPITAL LLC|||Y|Y|Y|Y
BAYS|P|BAYES CAPITAL LLC|Trading Desk|201-660-7187|Y|Y|Y|Y
BAYT|O|BTIG, LLC|SAN FRANCISCO, CA|415-248-2200|Y|Y|N|N
BAYZ|O|BAYES CAPITAL MARKETS LLC|||N|N|N|Y
BBGC|P|B.B. Graham & Company, Inc.|||N|Y|N|N
BBHC|P|Brown Brothers Harriman & Co.|||N|Y|N|N
BBHP|P|HALCYON CABOT PARTNERS, LTD.|||N|N|N|N
BBNT|M|BB&T SECURITIES, LLC|RICHMOND, VA|804-782-8704|Y|Y|N|N
BBNT|M|BB&T SECURITIES, LLC||800-446-7074|Y|Y|N|N
BBOX|P|BLINKBOX, LTD.|||N|N|N|N
BBRF|P|Buckman, Buckman & Reid, Inc.|||Y|Y|N|N
BBST|P|BB&T SECURITIES, LLC|||Y|Y|N|N
BCAP|M|Barclays Capital Inc.|NEW YORK, NY|212-412-2125|Y|Y|Y|Y
BCAR|P|Banca Carige Spa Cassa Di Risp|||N|N|N|N
BCDX|P|BARCLAYS CAPITAL INC.|||Y|Y|Y|Y
BCEP|O|Merrill Lynch Pierce Fenner & Smith Incorporated||212-670-4214|Y|Y|Y|Y
BCEX|O|Merrill Lynch Pierce Fenner & Smith Incorporated||212-670-4214|Y|Y|Y|Y
BCGS|P|BCG Securities, Inc.|||N|Y|N|N
BCHW|P|Birchwood Securities Corp.|NASDAQ TRADING|215-496-5554|N|Y|N|N
BCLE|P|Barclays Capital Inc./Le|||Y|Y|Y|Y
BCMR|P|BBVA Investments Inc.|||N|N|N|N
BCMX|P|BERENBERG CAPITAL MARKETS LLC|||N|Y|N|N
BCOM|P|Baker & Co., Incorporated|CLEVELAND  OH|216-696-0167|N|Y|N|N
BCPI|M|Bathgate Capital Partners LLC|GREENWOOD VILLAGE CO|720-488-4740|N|Y|N|N
BCPT|M|Baron Capital, Inc.|NEW YORK  NY|212-759-1500|N|Y|N|N
BCRK|P|Bear Creek Securities, LLC|||N|Y|N|N
BCSB|P|TRIBAL CAPITAL MARKETS, LLC|NASDAQ TRADING|212-482-2150|Y|Y|N|N
BCSC|P|Bluechip Securities, Inc.|||N|N|N|N
BCSI|P|Bluechip Securities, Inc.|||N|N|N|N
BCZC|M|B. C. Ziegler and Company|WEST BEND, WI|800-558-1776|N|Y|N|N
BCZC|M|B. C. Ziegler and Company|EQUITY TRADING DESK|866-899-2344|N|Y|N|N
BCZC|M|B. C. Ziegler and Company|PREFERRED STOCKS|800-837-7205|N|Y|N|N
BDAK|P|Securitrade Corporation|||N|N|N|N
BDDK|P|Tradeweb Direct LLC|||N|Y|N|N
BDFI|P|Westmoore Trading Company|||N|N|N|N
BDVE|P|BENJAMIN & JEROLD BROKERAGE I, LLC|||N|Y|N|N
BEAC|P|Beacon Capital Markets, LLC|||N|N|N|N
BEAG|P|BEACON GATE LLC|||N|Y|N|N
BEAH|P|Beach Securities Corporation|||N|N|N|N
BEAL|P|M. R. Beal & Company|||N|N|N|N
BEAR|M|Bear, Stearns & Co. Inc.|NEW YORK, NY|212-272-4810|Y|Y|Y|Y
BECM|P|Beta Capital Management, L.P.|MIAMI, FL|305-358-8844|Y|Y|N|N
BEGK|P|BENJAMIN & JEROLD BROKERAGE I, LLC|||N|Y|N|N
BEJB|P|BENJAMIN & JEROLD BROKERAGE I, LLC|||N|Y|N|N
BEJJ|P|BENJAMIN & JEROLD BROKERAGE I, LLC|CHICAGO, IL|312-554-0202|N|Y|N|N
BELO|P|Beloyan Investment Securities, Inc.|DAVIE, FL|954-916-3899|N|Y|N|N
BELS|P|Bel Air Securities LLC|||N|Y|N|N
BELV|P|BELVEDERE TRADING LLC|||Y|N|Y|N
BELZ|O|Electronic Brokerage Systems, LLC||312-663-3655|Y|Y|Y|N
BENI|P|Evolution Securities US Inc.|||N|N|N|N
BENJ|P|Benjamin Securities, Inc.|||N|Y|N|N
BENS|P|Benjamin Securities Investment Company, Inc.|||N|Y|N|N
BERN|M|Sanford C. Bernstein & Co., LLC|OTC TRADING|212-756-4017|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|NEW YORK  NY|212-272-4810|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|OTCBB/PINK SHEETS|212-272-4975|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|NASDAQ TRADING|800-247-7882|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|EMERGING MARKETS|212-272-9297|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|INTERNATIONAL|212-272-4580|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|ARBITRAGE|212-272-4506|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|PREFERRED|212-272-5104|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|PREFERRED|800-231-8892|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|CONVERTIBLES|212-272-4484|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|HIGH YIELD DEPT|212-272-5100|Y|Y|Y|Y
BEST|M|J.P. Morgan Securities LLC|OTCBB/PINK SHEETS|212-272-4975|Y|Y|Y|Y
BETC|P|BAYES CAPITAL LLC|||Y|Y|Y|Y
BFFI|P|Berthel, Fisher & Company Financial Services, Inc.|CEDAR RAPIDS, IA|319 447-5700|N|Y|N|N
BFIB|P|ARCA CAPITAL INVESTMENTS, INC.|||N|Y|N|N
BFLN|P|Basis Financial, Llc|||N|N|N|N
BFSA|O|Berwyn Financial Services Corp.|NASDAQ TRADING|610-408-9850|N|N|N|N
BFSI|P|Belfinance Securities, Inc.|||N|N|N|N
BFSL|P|Briggs-Ficks Securities, LLC|||N|N|N|N
BGCE|M|BGC Financial Inc.|||Y|Y|N|N
BGCF|P|BGC Financial Inc.|||Y|Y|N|N
BGCX|P|BGC Financial Inc.|||Y|Y|N|N
BGHT|P|Brighton Securities Corp.|WATTS|800-388-8787|N|Y|N|N
BGHT|P|Brighton Securities Corp.|ROCHESTER NY|716-473-3590|N|Y|N|N
BGHT|P|Brighton Securities Corp.|TRADING, NASDAQ|800-388-1703|N|Y|N|N
BGIA|P|Biondo Asset Management LLC|||N|Y|N|N
BGIS|O|BLACKROCK EXECUTION SERVICES|415-597-2410|N/A|Y|Y|N|N
BGMI|P|BRICKELL GLOBAL MARKETS, INC.|||N|Y|N|N
BGSG|P|CBIZ Financial Solutions, Inc.|BALTIMORE, MD|301-777-7550|N|Y|N|N
BGTN|M|Brockington Securities, Inc.|NASDAQ TRADING|949-218-2486|N|N|N|N
BGTN|M|Brockington Securities, Inc.|OTCBB TRADING|949-218-2486|N|N|N|N
