AFGH,American Financial Group- Inc.,Finance,Property-Casualty Insurers,NYSE
AFI,Armstrong Flooring- Inc.,Consumer Non-Durables,Plastic Products,NYSE
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,n/a,AXS
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,NYSE
AFP,AFT PHARMACEUTICALS LIMITED,Pharmaceuticals & Biotechnology,n/a,AXS
AFR,AFRICAN ENERGY RESOURCES LIMITED,Energy,n/a,AXS
AFSD,Aflac Incorporated,Finance,Accident &Health Insurance,NYSE
AFSI^A,AmTrust Financial Services- Inc.,n/a,n/a,NYSE
AFSI,AmTrust Financial Services- Inc.,Finance,Property-Casualty Insurers,NASDAQ
AFSI^B,AmTrust Financial Services- Inc.,n/a,n/a,NYSE
AFSI^C,AmTrust Financial Services- Inc.,n/a,n/a,NYSE
AFSI^D,AmTrust Financial Services- Inc.,n/a,n/a,NYSE
AFSI^E,AmTrust Financial Services- Inc.,n/a,n/a,NYSE
AFSS,AmTrust Financial Services- Inc.,Finance,Property-Casualty Insurers,NYSE
AFST,AmTrust Financial Services- Inc.,Finance,Property-Casualty Insurers,NYSE
AFT,AFT CORPORATION LIMITED,Capital Goods,n/a,AXS
AFT,Apollo Senior Floating Rate Fund Inc.,n/a,n/a,NYSE
AFW,American Financial Group- Inc.,Finance,Property-Casualty Insurers,NYSE
AFY,AFTERPAY HOLDINGS LIMITED,Software & Services,n/a,AXS
AGC,Advent Claymore Convertible Securities and Income Fund II,n/a,n/a,NYSE
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,NYSE
AGD,Alpine Global Dynamic Dividend Fund,n/a,n/a,NYSE
AGE,ALLIGATOR ENERGY LIMITED,Energy,n/a,AXS
AGF,AMP CAPITAL CHINA GROWTH FUND,Diversified Financials,n/a,AXS
AG,First Majestic Silver Corp.,Basic Industries,Precious Metals,NYSE
AGFS,AgroFresh Solutions- Inc.,Finance,Business Services,NASDAQ
AGFSW,AgroFresh Solutions- Inc.,Finance,Business Services,NASDAQ
AGG,ANGLOGOLD ASHANTI LIMITED,Materials,n/a,AXS
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,NYSE
AGII,Argo Group International Holdings Ltd.,Finance,Specialty Insurers,NASDAQ
AGIIL,Argo Group International Holdings Ltd.,Finance,Specialty Insurers,NASDAQ
AGIO,Agios Pharmaceuticals- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
AGJ,AGRICULTURAL LAND TRUST,Real Estate,n/a,AXS
AGL,AGL ENERGY LIMITED.,Utilities,n/a,AXS
AGM^A,Federal Agricultural Mortgage Corporation,n/a,n/a,NYSE
AGM.A,Federal Agricultural Mortgage Corporation,n/a,n/a,NYSE
AGM^B,Federal Agricultural Mortgage Corporation,n/a,n/a,NYSE
AGM^C,Federal Agricultural Mortgage Corporation,n/a,n/a,NYSE
AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies,NYSE
AGMX,AutoGenomics- Inc.,n/a,n/a,NASDAQ
AGN^A,Allergan plc.,n/a,n/a,NYSE
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,NYSE
AGNC,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGNCB,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGNCP,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,n/a,n/a,NASDAQ
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers,NYSE
AGO,ATLAS IRON LIMITED,Materials,n/a,AXS
AGO^B,Assured Guaranty Ltd.,n/a,n/a,NYSE
AGO^E,Assured Guaranty Ltd.,n/a,n/a,NYSE
AGO^F,Assured Guaranty Ltd.,n/a,n/a,NYSE
AGR,AGUIA RESOURCES LIMITED,Materials,n/a,AXS
AGR,Avangrid- Inc.,Public Utilities,Electric Utilities: Central,NYSE
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,NYSE
AGS,ALLIANCE RESOURCES LIMITED,Materials,n/a,AXS
AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals,NYSE
AGX,AGENIX LIMITED,Pharmaceuticals & Biotechnology,n/a,AXS
AGX,Argan- Inc.,Basic Industries,Engineering & Construction,NYSE
AGY,ARGOSY MINERALS LIMITED,Materials,n/a,AXS
AGYS,Agilysys- Inc.,Technology,EDP Services,NASDAQ
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,n/a,n/a,NASDAQ
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,NYSE
AHF,AUSTRALIAN DAIRY FARMS GROUP,Food, Beverage & Tobacco,n/a,AXS
AHG,AUTOMOTIVE HOLDINGS GROUP LIMITED.,Retailing,n/a,AXS
AHGP,Alliance Holdings GP L.P.,Energy,Coal Mining,NASDAQ
AHH,Armada Hoffler Properties- Inc.,Finance,Real Estate,NYSE
AHK,ARK MINES LIMITED,Materials,n/a,AXS
AHL^A,Aspen Insurance Holdings Limited,n/a,n/a,NYSE
AHL,Aspen Insurance Holdings Limited,Finance,Property-Casualty Insurers,NYSE
AHL^B,Aspen Insurance Holdings Limited,n/a,n/a,NYSE
AHL^C,Aspen Insurance Holdings Limited,n/a,n/a,NYSE
AHN,ATHENA RESOURCES LIMITED,Materials,n/a,AXS
AHP,Ashford Hospitality Prime- Inc.,Consumer Services,Real Estate Investment Trusts,NYSE
AHP^B,Ashford Hospitality Prime- Inc.,n/a,n/a,NYSE
AHQ,ALLEGIANCE COAL LIMITED,Energy,n/a,AXS
AHR,ANCHOR RESOURCES LIMITED,Materials,n/a,AXS
AHS,AMN Healthcare Services Inc,Technology,Professional Services,NYSE
AHT^A,Ashford Hospitality Trust Inc,n/a,n/a,NYSE
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts,NYSE
AHT^D,Ashford Hospitality Trust Inc,n/a,n/a,NYSE
AHT^F,Ashford Hospitality Trust Inc,n/a,n/a,NYSE
AHX,APIAM ANIMAL HEALTH LIMITED,Retailing,n/a,AXS
AHY,ASALEO CARE LIMITED,Household & Personal Products,n/a,AXS
AHZ,ADMEDUS LTD,Health Care Equipment & Services,n/a,AXS
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation,n/a,AXS
AIA,iShares Asia 50 ETF,n/a,n/a,NASDAQ
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE
AIB,Apollo Investment Corporation,n/a,n/a,NYSE
AIB,AURORA GLOBAL INCOME TRUST,Diversified Financials,n/a,AXS
AIC,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE
AIF,Apollo Tactical Income Fund Inc.,n/a,n/a,NYSE
AIG,American International Group- Inc.,Finance,Property-Casualty Insurers,NYSE
AIG.WS,American International Group- Inc.,n/a,n/a,NYSE
AIII,ACRE Realty Investors, Inc.,Consumer Services,Real Estate Investment Trusts,AMEX
AIK,ARMIDALE INVESTMENT CORPORATION LIMITED,Not Applic,n/a,AXS
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components,NASDAQ
AIMT,Aimmune Therapeutics- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
AIN,Albany International Corporation,Basic Industries,Textiles,NYSE
AINC,Ashford Inc.,Consumer Services,Professional Services,AMEX
AINV,Apollo Investment Corporation,n/a,n/a,NASDAQ
AIQ,ALTERNATIVE INVESTMENT TRUST,Not Applic,n/a,AXS
AIR,AAR Corp.,Capital Goods,Aerospace,NYSE
AIR,ASTIVITA LIMITED,Capital Goods,n/a,AXS
AIRI,Air Industries Group,Capital Goods,Military/Government/Technical,AMEX
AIRM,Air Methods Corporation,Transportation,Transportation Services,NASDAQ
AIRR,First Trust RBA American Industrial Renaissance ETF,n/a,n/a,NASDAQ
AIS,AERIS RESOURCES LIMITED,Materials,n/a,AXS
AIT,Applied Industrial Technologies- Inc.,Consumer Durables,Industrial Specialties,NYSE
AITP,Advanced Inhalation Therapies (AIT) Ltd.,n/a,n/a,NASDAQ
AIV^A,Apartment Investment and Management Company,n/a,n/a,NYSE
AIV,ACTIVEX LIMITED,Materials,n/a,AXS
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,NYSE
AIW,Arlington Asset Investment Corp,Finance,Finance/Investors Services,NYSE
AIXG,Aixtron SE,Technology,Industrial Machinery/Components,NASDAQ
AIY,Apollo Investment Corporation,n/a,n/a,NYSE
AIY,AUTHORISED INVESTMENT FUND LIMITED,Not Applic,n/a,AXS
AIZ,AIR NEW ZEALAND LIMITED,Transportation,n/a,AXS
AIZ,Assurant- Inc.,Finance,Accident &Health Insurance,NYSE
AJA,ASTRO JAPAN PROPERTY GROUP,Real Estate,n/a,AXS
AJC,ACACIA COAL LIMITED,Energy,n/a,AXS
AJD,ASIA PACIFIC DATA CENTRE GROUP,Real Estate,n/a,AXS
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,NYSE
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED,Health Care Equipment & Services,n/a,AXS
AJL,AJ LUCAS GROUP LIMITED,Capital Goods,n/a,AXS
AJM,ALTURA MINING LIMITED,Materials,n/a,AXS
AJQ,ARMOUR ENERGY LIMITED,Energy,n/a,AXS
AJRD,Aerojet Rocketdyne Holdings- Inc. ,Capital Goods,Military/Government/Technical,NYSE
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials,n/a,AXS
AJX,Great Ajax Corp.,Consumer Services,Real Estate Investment Trusts,NYSE
AJY,ASAPLUS RESOURCES LIMITED,Materials,n/a,AXS
AKAM,Akamai Technologies- Inc.,Miscellaneous,Business Services,NASDAQ
AKF,ASK FUNDING LIMITED,Diversified Financials,n/a,AXS
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services,n/a,AXS
AKG,Asanko Gold Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
AKK,AUSTIN EXPLORATION LIMITED,Energy,n/a,AXS
AKM,ASPIRE MINING LIMITED,Materials,n/a,AXS
AKP,Alliance California Municipal Income Fund Inc,n/a,n/a,NYSE
AKP,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel,n/a,AXS
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE
AKRX,Akorn- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,NYSE
AL,Air Lease Corporation,Technology,Diversified Commercial Services,NYSE
ALB,Albemarle Corporation,Basic Industries,Major Chemicals,NYSE
ALC,ALCIDION GROUP LIMITED,Health Care Equipment & Services,n/a,AXS
ALCO,Alico- Inc.,Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
ALDW,Alon USA Partners LP,Energy,Integrated oil Companies,NYSE
ALE,Allete- Inc.,Public Utilities,Power Generation,NYSE
ALEX,Alexander & Baldwin Holdings- Inc.,Finance,Real Estate,NYSE
ALF,AUSTRALIAN LEADERS FUND LIMITED,Diversified Financials,n/a,AXS
ALG,Alamo Group- Inc.,Capital Goods,Industrial Machinery/Components,NYSE
ALGN,Align Technology- Inc.,Health Care,Industrial Specialties,NASDAQ
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,NASDAQ
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Diversified Financials,n/a,AXS
ALJ,Alon USA Energy- Inc.,Energy,Integrated oil Companies,NYSE
ALK,Alaska Air Group- Inc.,Transportation,Air Freight/Delivery Services,NYSE
ALK,ALKANE RESOURCES LIMITED,Materials,n/a,AXS
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals,NASDAQ
ALL^A,Allstate Corporation (The),n/a,n/a,NYSE
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,NYSE
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services,n/a,AXS
ALL^B,Allstate Corporation (The),n/a,n/a,NYSE
ALL^C,Allstate Corporation (The),n/a,n/a,NYSE
ALL^D,Allstate Corporation (The),n/a,n/a,NYSE
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,NYSE
ALL^E,Allstate Corporation (The),n/a,n/a,NYSE
ALL^F,Allstate Corporation (The),n/a,n/a,NYSE
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment,NASDAQ
ALLY^A,Ally Financial Inc.,n/a,n/a,NYSE
ALLY,Ally Financial Inc.,Finance,Finance: Consumer Services,NYSE
ALN,American Lorain Corporation,Consumer Non-Durables,Packaged Foods,AMEX
ALNY,Alnylam Pharmaceuticals- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ALOG,Analogic Corporation,Capital Goods,Electrical Products,NASDAQ
ALP^O,Alabama Power Company,Public Utilities,Electric Utilities: Central,NYSE
ALQ,ALS LIMITED,Commercial Services & Supplies,n/a,AXS
ALR,ABERDEEN LEADERS LIMITED,Diversified Financials,n/a,AXS
ALR,Alere Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NYSE
ALR^B,Alere Inc.,n/a,n/a,NYSE
ALRM,Alarm.com Holdings- Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ
ALSK,Alaska Communications Systems Group- Inc.,Public Utilities,Telecommunications Equipment,NASDAQ
ALSN,Allison Transmission Holdings- Inc.,Capital Goods,Auto Parts:O.E.M.,NYSE
ALT,ANALYTICA LIMITED,Health Care Equipment & Services,n/a,AXS
ALTY,Global X SuperDividend Alternatives ETF,n/a,n/a,NASDAQ
ALU,ALTIUM LIMITED,Software & Services,n/a,AXS
ALV,Autoliv- Inc.,Capital Goods,Auto Parts:O.E.M.,NYSE
ALX,Alexander's- Inc.,Consumer Services,Real Estate Investment Trusts,NYSE
